"","tpgeschlecht","tpalter_1","ab0500p","dg0102p","gemeindegroessenklasse","db2000p","ea1700p","tb0007p","eb1203pug03","th0202h","ba1100h","tw0110w","ba0100h","ba0600h","ba1300hu01","ba1300hu02","ba1300hu03","ba1300hu04","ba1400h","tw0023g","ba0200h","tw0413w","tl0001p","ed4600p","dj0400h","ba3200h","th0291h","dd0100p","dd0200p"
"40",1,1,1,1,1,1,-3,-3,-3,4,7,"35",1,4,0,0,1,0,2,1,1,"-5",0,-4,-1,-5,16,-4,-4
"41",1,2,1,1,1,1,-3,-3,-3,4,7,"35",1,4,0,0,1,0,2,1,1,"-5",0,-4,-1,-5,16,-4,-4
"42",1,26,1,8,1,1,1,88,872,1,3,"62",1,-9,0,0,1,0,2,4,5,"6",0,-4,-1,510,8,-4,-4
"43",2,49,1,12,1,1,1,5,691,2,5,"64.5",1,3,0,0,1,0,2,2,1,"-5",2,-4,-1,-5,18,-4,-4
"44",1,47,1,9,1,2,1,4,493,2,5,"64.5",1,3,0,0,1,0,2,2,1,"-5",2,-4,-1,-5,18,-4,-4
"45",2,33,1,7,1,1,1,3,471,1,2,"40",1,-9,0,0,1,0,2,4,5,"-5",0,-4,-1,-5,7,-4,-4
"46",2,43,4,6,1,1,1,14,855,2,5,"60",1,1,0,1,0,0,4,1,1,"-5",0,-4,-1,-5,6,-4,-4
"47",1,9,1,90,1,1,-3,-3,-3,2,5,"60",1,1,0,1,0,0,4,1,1,"-5",0,-4,-1,-5,6,-4,-4
"48",2,32,1,2,1,1,-2,88,-2,2,3,"34",1,-9,0,0,1,0,2,4,5,"5",0,-4,-1,460,2,-4,-4
"49",2,6,1,90,1,1,-3,-3,-3,2,3,"34",1,-9,0,0,1,0,2,4,5,"5",0,-4,-1,460,2,-4,-4
"50",2,79,3,8,3,1,-2,88,-2,1,3,"85",1,1,0,1,0,0,2,1,1,"5.5",0,-4,-1,515,8,-4,-4
"51",1,67,2,8,3,1,-2,3,-2,2,4,"50",1,6,0,1,0,0,2,1,1,"-5",1,-4,-1,-5,14,-4,-4
"52",2,48,2,6,3,1,-2,3,-2,2,4,"50",1,6,0,1,0,0,2,1,1,"-5",1,-4,-1,-5,14,-4,-4
"53",1,63,1,10,3,1,-2,88,-2,1,1,"60",1,3,0,1,0,0,2,1,1,"-5",0,-4,-1,-5,10,-4,-4
"54",1,82,2,3,3,1,-2,3,-2,2,4,"52",2,3,0,1,0,0,2,1,3,"2.5",1,-4,-1,650,5,-4,-4
"55",2,84,2,3,3,1,-2,88,-2,2,4,"52",2,3,0,1,0,0,2,1,3,"2.5",1,-4,-1,650,5,-4,-4
"56",1,65,4,9,3,1,-2,8,-2,1,5,"150",2,5,0,1,0,0,2,3,1,"-5",0,-4,-1,-5,9,-4,-4
"57",1,72,2,5,3,1,-2,3,-2,2,3,"50",1,3,0,1,0,0,2,1,1,"-5",1,-4,-1,-5,8,-4,-4
"58",2,71,2,3,3,1,-2,88,-2,2,3,"50",1,3,0,1,0,0,2,1,1,"-5",1,-4,-1,-5,8,-4,-4
"59",1,61,2,17,3,1,1,3,453,2,5,"80",1,5,0,1,0,0,14,1,1,"3.5",1,-4,-1,800,18,-4,-4
"60",2,58,2,4,3,1,1,88,451,2,5,"80",1,5,0,1,0,0,14,1,1,"3.5",1,-4,-1,800,18,-4,-4
"61",1,50,2,18,3,1,1,33,264,4,5,"30",1,3,0,1,0,0,14,1,1,"-5",1,-4,-1,-5,20,-4,-4
"62",2,38,2,6,3,1,1,33,889,4,5,"30",1,3,0,1,0,0,14,1,1,"-5",1,-4,-1,-5,20,-4,-4
"63",2,13,1,90,3,1,-3,-3,-3,4,5,"30",1,3,0,1,0,0,14,1,1,"-5",0,-4,-1,-5,20,-4,-4
"64",1,10,1,90,3,1,-3,-3,-3,4,5,"30",1,3,0,1,0,0,14,1,1,"-5",0,-4,-1,-5,20,-4,-4
"65",2,60,2,4,3,1,-2,3,-2,2,3,"55",1,1,0,1,0,0,2,1,1,"-5",1,-4,-1,-5,13,-4,-4
"66",1,52,2,9,3,1,1,3,841,2,3,"55",1,1,0,1,0,0,2,1,1,"-5",1,-4,-1,-5,13,-4,-4
"67",1,53,2,8,3,1,1,3,561,2,4,"45",1,3,0,1,0,0,4,1,1,"9",1,-4,-1,800,16,-4,-4
"68",2,39,2,9,3,1,1,14,881,2,4,"45",1,3,0,1,0,0,4,1,1,"9",1,-4,-1,800,16,-4,-4
"69",2,32,2,14,3,1,1,14,871,5,5,"26",1,3,0,1,0,0,2,1,1,"-5",1,-4,-1,-5,18,-4,-4
"70",1,16,1,90,3,1,-2,88,-2,5,5,"26",1,3,0,1,0,0,2,1,1,"-5",0,-4,-1,-5,18,-4,-4
"71",1,12,1,90,3,1,-3,-3,-3,5,5,"26",1,3,0,1,0,0,2,1,1,"-5",0,-4,-1,-5,18,-4,-4
"72",1,41,2,9,3,1,1,3,422,5,5,"26",1,3,0,1,0,0,2,1,1,"-5",1,-4,-1,-5,18,-4,-4
