Zone,SFD,SFA,MF234,MF5plus,MH,DevCapacity,DevLandUse
620,1,1,1,1,1,37,8.698608357
621,1,1,1,1,1,15,14.8134198
622,1,1,1,1,1,842,7.217337763
623,1,1,1,1,1,9,13.38087279
624,1,1,1,1,1,10,201.4966647
625,1,1,1,1,1,1238.2251,2031.137358
626,1,1,1,1,1,24,1281.516338
627,1,1,1,1,1,39,1940.102505
628,1,1,1,1,1,85.08809,1282.521365
629,1,1,1,1,1,10,8477.325844
630,1,1,1,1,1,71,522.0408427
631,1,1,1,1,1,56,223.7192215
632,1,1,1,1,1,1993,34.89508369
633,1,1,1,1,1,86,37.90352297
