id,Region,distanceToTransit,BBSR_Type,Pop+Emp,Population,Employment,Area,AGS,Housing,Special,Mixed Use,Industrial,Sport+Rec,remainder,x,y
3177,1,500,10,5411,3900,1511,74453122.319106519222260,12061320,0.013493477,0.001260512,0.004084776,0.006547516,0.002516172,0.972097546,4615605.717,5750914.173
3178,1,500,10,563,389,174,41914193.803118549287319,12061471,0,5.66911E-06,0,0,0,0.999994331,4601898.643,5758402.219
3179,1,500,10,641,570,71,26850390.548066426068544,12061097,0.013526527,0.000651683,0.001955353,0.008885137,0.001750595,0.973230705,4608622.231,5755624.358
3180,1,500,10,5081,3088,1992,48749753.015078529715538,12061316,0.004289987,0.000460799,0.000285385,0.001799786,0.000616543,0.992547499,4626854.634,5760042.766
3181,1,500,10,2103,1835,268,640000.000000000000000,12061316,0.194999713,0.078179609,0.018901909,0.057169706,0.30154325,0.349205813,4630050,5757800
3182,1,500,10,596,501,95,640000.000000000000000,12061316,0.199732289,0,0,0.068020463,0.014592169,0.71765508,4629250,5757000
3183,1,500,10,1202,859,343,640000.000000000000000,12061316,0.275920341,0.029181264,0.005748741,0.199005137,0.007384152,0.482760365,4630050,5757000
3184,1,500,10,4966,3147,1818,25643969.373762201517820,12061316,0.002139015,0.000135287,0.000256665,0.004023565,0.000668924,0.992776544,4630818.406,5755246.728
3185,1,500,10,5355,2618,2736,110167097.457870259881020,12061320,0.001194829,0.000738044,0.001334187,0.000865541,0.000249246,0.995618153,4624038.255,5745136.413
3186,1,500,10,425,357,67,12952248.579556813463569,12061017,0,0,0,0,0,1.000000000000000,4622444.572,5756126.112
3187,1,500,10,5301,4157,1144,19645730.463396150618792,12061320,0.042135602,0.004170692,0.010368347,0.042750604,0.013897826,0.886676929,4619293.744,5748720.841
3188,1,500,10,1456,1171,285,22069180.024278420954943,12062088,0.019630142,0.000977119,0.002776624,0.011411943,0.007560646,0.957643526,4620431.46,5735115.621
3189,1,500,10,760,651,109,43134983.454806178808212,12062237,0,0,0,0,0,1.000000000000000,4603118.644,5736897.751
3190,1,500,10,4834,3280,1553,72256076.598084762692451,12066196,0.004096877,0.000719746,0.001933463,0.001157583,0.008843328,0.983249003,4636994.131,5746642.851
3191,1,500,10,1823,1428,394,640000.000000000000000,12066196,0.305799718,0.022208114,0.102953687,0.197915952,0.08644258,0.284679949,4634050,5749800
3192,1,500,10,5186,2991,2194,44730918.404170230031013,12066196,0.003859722,0.00066422,0.002592665,0.001085368,0.002563701,0.989234323,4631107.722,5750309.767
3193,1,500,10,4908,4325,583,640000.000000000000000,12066196,0.408029254,0.109322681,0.176300964,0.088226989,0.104721718,0.113398394,4634050,5749000
3194,1,500,10,3333,2897,436,640000.000000000000000,12066196,0.304544038,0.237824057,0.044894071,0.056984624,0.131254203,0.224499008,4634850,5749000
3195,1,500,10,5373,1892,3480,20121459.462029371410608,12066196,0.040057872,0.002634247,0.010768013,0.110432892,0.026537573,0.809569402,4633700.124,5747024.363
3196,1,500,10,3629,2694,934,51999948.867604501545429,12066320,0.000777258,0,0.000989237,2.78386E-07,0,0.998233227,4641395.625,5743281.584
3197,1,500,10,5153,3247,1906,18566875.288367524743080,12071032,0.000954378,0,0,0,0.000272381,0.99877324,4646291.971,5747133.681
3198,1,500,10,1044,940,104,30383951.779381588101387,12071341,0,0,0,0,0.00023179,0.99976821,4653873.651,5750485.257
3199,1,500,10,1469,1013,456,21667584.567058674991131,12061476,0.001068269,0,0,4.49493E-05,3.28896E-06,0.998883493,4646333.408,5754142.771
3200,1,500,10,3551,3107,444,12219158.177091896533966,12071032,0.072381115,7.21276E-05,0.010941951,0.005088255,0.044577838,0.866938713,4646011.991,5749664.41
3201,1,500,10,934,815,119,35835180.550250627100468,12061061,0.002668054,0,8.46246E-05,0.001418039,1.86235E-05,0.995810659,4650564.817,5753297.788
3202,1,500,10,593,467,125,6641435.977253573015332,12071164,0.001602831,0,0,0,0,0.998397169,4653152.394,5745505.542
